team_name,phase,count,success_rate,percent_of_total,count_percentile,success_rate_percentile,percent_of_total_percentile
Columbus Crew,long_goalkick,72,0.5633802816901409,0.00718562874251497,0.26666666666666666,1.0,0.3333333333333333
Columbus Crew,penalty,2,0.0,0.0001996007984031936,0.08620689655172414,0.5172413793103449,0.10344827586206896
Columbus Crew,possession_freekick,291,0.625,0.02904191616766467,0.16666666666666666,0.26666666666666666,0.5666666666666667
Columbus Crew,possession_throw_in,381,0.48501362397820164,0.03802395209580838,0.23333333333333334,0.4666666666666667,0.5
Columbus Crew,progression,1496,0.39217191097467385,0.14930139720558883,0.06666666666666667,0.06666666666666667,0.1
Columbus Crew,securing_possession,931,0.5450236966824644,0.09291417165668663,0.4,0.4,0.9
Columbus Crew,short_goalkick,158,0.5483870967741935,0.015768463073852296,0.6,0.6333333333333333,0.8
DC United,accelerated_possession,469,0.3549107142857143,0.03965167399391275,1.0,0.36666666666666664,0.9
DC United,attacking_freekick,147,0.8068965517241379,0.012428136624957727,0.6666666666666666,0.3,0.4666666666666667
DC United,attacking_freekick_second_phase,41,0.2682926829268293,0.0034663510314507946,0.7166666666666667,0.6,0.6666666666666666
DC United,attacking_throw_in,147,0.5753424657534246,0.012428136624957727,0.6,0.03333333333333333,0.4
DC United,buildup,1414,0.6365079365079365,0.11954683801149814,0.9,0.7333333333333333,0.5666666666666667
DC United,corner,178,0.15428571428571428,0.015049036185322962,0.6666666666666666,0.03333333333333333,0.5
DC United,corner_second_phase,91,0.38461538461538464,0.007693608386878593,0.9,0.8666666666666667,0.7333333333333333
DC United,counterattack,49,0.30612244897959184,0.004142712208319243,0.7833333333333333,0.13333333333333333,0.7
DC United,finishing,665,0.361198738170347,0.056222522827189716,0.7,0.4,0.5666666666666667
DC United,high_transition,341,0.338368580060423,0.028829895164017585,0.7666666666666667,0.26666666666666666,0.5
DC United,kickoff,89,0.4827586206896552,0.007524518092661481,0.03333333333333333,0.16666666666666666,0.03333333333333333
DC United,long_goalkick,53,0.4339622641509434,0.004480892796753466,0.1,0.7,0.06666666666666667
DC United,penalty,5,0.0,0.00042272573554277983,0.5,0.5172413793103449,0.4827586206896552
DC United,possession_freekick,367,0.6647887323943662,0.03102806898884004,0.9,0.7666666666666667,0.7666666666666667
DC United,possession_throw_in,464,0.48769574944071586,0.03922894825836997,0.7666666666666667,0.5333333333333333,0.7
DC United,progression,2049,0.4662471395881007,0.17323300642543119,0.9333333333333333,0.6666666666666666,0.6333333333333333
DC United,securing_possession,1012,0.5328310010764262,0.08555968887385865,0.8666666666666667,0.16666666666666666,0.5666666666666667
DC United,short_goalkick,157,0.5364238410596026,0.013273588096043287,0.5666666666666667,0.43333333333333335,0.3
FC Dallas,accelerated_possession,414,0.395,0.03456048084147258,0.7166666666666667,0.8333333333333334,0.4
FC Dallas,attacking_freekick,159,0.89171974522293,0.013273228149261207,0.8833333333333333,0.9,0.7666666666666667
FC Dallas,attacking_freekick_second_phase,46,0.2391304347826087,0.0038400534268302863,0.85,0.4666666666666667,0.7666666666666667
FC Dallas,attacking_throw_in,168,0.7239263803680982,0.014024542950162784,0.8666666666666667,0.7333333333333333,0.7666666666666667
FC Dallas,buildup,1326,0.6454767726161369,0.11069371399949912,0.5333333333333333,0.8333333333333334,0.1
FC Dallas,corner,226,0.17333333333333334,0.018866349444861843,1.0,0.16666666666666666,1.0
FC Dallas,corner_second_phase,98,0.35714285714285715,0.008180983387594957,0.9666666666666667,0.7,0.9333333333333333
FC Dallas,counterattack,40,0.525,0.003339176892895901,0.36666666666666664,0.9333333333333333,0.2
FC Dallas,finishing,886,0.35294117647058826,0.07396276817764422,1.0,0.3333333333333333,1.0
FC Dallas,high_transition,372,0.3878116343490305,0.03105434510393188,1.0,0.8666666666666667,0.8333333333333334
FC Dallas,kickoff,116,0.5350877192982456,0.009683612989398113,0.5166666666666667,0.43333333333333335,0.36666666666666664
FC Dallas,long_goalkick,58,0.41379310344827586,0.004841806494699057,0.13333333333333333,0.5,0.13333333333333333
FC Dallas,penalty,8,0.0,0.0006678353785791802,0.8448275862068966,0.5172413793103449,0.7931034482758621
FC Dallas,possession_freekick,345,0.6447761194029851,0.028800400701227146,0.8,0.5333333333333333,0.5333333333333333
FC Dallas,possession_throw_in,405,0.5331632653061225,0.033809166040571,0.43333333333333335,0.9,0.16666666666666666
FC Dallas,progression,2142,0.5293168370091447,0.17881292261457551,0.9666666666666667,1.0,0.9333333333333333
FC Dallas,securing_possession,1007,0.5481798715203426,0.08406377827865431,0.7833333333333333,0.43333333333333335,0.4666666666666667
FC Dallas,short_goalkick,173,0.5497076023391813,0.014441940061774773,0.8166666666666667,0.6666666666666666,0.5333333333333333
Houston Dynamo,accelerated_possession,384,0.3404255319148936,0.03664821530826494,0.4,0.16666666666666666,0.7
Houston Dynamo,attacking_freekick,166,0.8957055214723927,0.015842718075968695,1.0,0.9333333333333333,1.0
Houston Dynamo,attacking_freekick_second_phase,49,0.2653061224489796,0.004676464974231724,0.9,0.5666666666666667,0.9
Houston Dynamo,attacking_throw_in,172,0.625,0.016415346440160336,0.9,0.13333333333333333,0.9333333333333333
Houston Dynamo,buildup,1290,0.6230769230769231,0.12311509830120251,0.38333333333333336,0.5,0.7666666666666667
Houston Dynamo,corner,187,0.15846994535519127,0.017846917350639434,0.8666666666666667,0.06666666666666667,0.9666666666666667
